generation_project,timestamp,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,tp_weight_in_year_hrs,period,DispatchGen_MW,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,TotalDispatchGWh
C-NG_CC,2025061512,C-NG_CC,NG_CC,Central,NaturalGas,2191.5,2020,2.329548343,5.105205194,13939.66068,1816.265068,51.05205194
C-NG_CC,2035011512,C-NG_CC,NG_CC,Central,NaturalGas,8766,2030,5.655927676,49.579862,135376.8216,17638.89364,495.79862
C-NG_GT,2025011500,C-NG_GT,NG_GT,Central,NaturalGas,1095.744,2020,0,0,0,0,0
C-NG_GT,2025011512,C-NG_GT,NG_GT,Central,NaturalGas,1095.744,2020,0,0,0,0,0
C-NG_GT,2025011600,C-NG_GT,NG_GT,Central,NaturalGas,1095.744,2020,0,0,0,0,0
C-NG_GT,2025011612,C-NG_GT,NG_GT,Central,NaturalGas,1095.744,2020,0,0,0,0,0
C-NG_GT,2025061500,C-NG_GT,NG_GT,Central,NaturalGas,2191.5,2020,0,0,0,0,0
C-NG_GT,2025061512,C-NG_GT,NG_GT,Central,NaturalGas,2191.5,2020,1.88,4.12002,91652.31691,2271.339834,41.2002
C-NG_GT,2035011512,C-NG_GT,NG_GT,Central,NaturalGas,8766,2030,0,0,0,0,0
C-Nuclear,2035011512,C-Nuclear,Nuclear,Central,Uranium,8766,2030,0,0,0,0,0
C-Biomass_IGCC,2025011500,C-Biomass_IGCC,Biomass_IGCC,Central,BioSolid,1095.744,2020,0,0,0,0,0
C-Biomass_IGCC,2025011512,C-Biomass_IGCC,Biomass_IGCC,Central,BioSolid,1095.744,2020,0,0,0,0,0
C-Biomass_IGCC,2025011600,C-Biomass_IGCC,Biomass_IGCC,Central,BioSolid,1095.744,2020,0,0,0,0,0
C-Biomass_IGCC,2025011612,C-Biomass_IGCC,Biomass_IGCC,Central,BioSolid,1095.744,2020,0,0,0,0,0
C-Biomass_IGCC,2025061500,C-Biomass_IGCC,Biomass_IGCC,Central,BioSolid,2191.5,2020,0,0,0,0,0
C-Biomass_IGCC,2025061512,C-Biomass_IGCC,Biomass_IGCC,Central,BioSolid,2191.5,2020,0,0,0,0,0
C-Biomass_IGCC,2035011512,C-Biomass_IGCC,Biomass_IGCC,Central,BioSolid,8766,2030,0,0,0,0,0
C-Residential_PV,2025011500,C-Residential_PV,Residential_PV,Central,Solar,1095.744,2020,0,0,0,0,0
C-Residential_PV,2025011512,C-Residential_PV,Residential_PV,Central,Solar,1095.744,2020,0,0,0,0,0
C-Residential_PV,2025011600,C-Residential_PV,Residential_PV,Central,Solar,1095.744,2020,0,0,0,0,0
C-Residential_PV,2025011612,C-Residential_PV,Residential_PV,Central,Solar,1095.744,2020,3.12E-16,3.42E-16,0,0,3.42266E-15
C-Residential_PV,2025061500,C-Residential_PV,Residential_PV,Central,Solar,2191.5,2020,0,0,0,0,0
C-Residential_PV,2025061512,C-Residential_PV,Residential_PV,Central,Solar,2191.5,2020,0,0,0,0,0
C-Residential_PV,2035011512,C-Residential_PV,Residential_PV,Central,Solar,8766,2030,0,0,0,0,0
C-Commercial_PV,2025011500,C-Commercial_PV,Commercial_PV,Central,Solar,1095.744,2020,0,0,0,0,0
C-Commercial_PV,2025011512,C-Commercial_PV,Commercial_PV,Central,Solar,1095.744,2020,0,0,0,0,0
C-Commercial_PV,2025011600,C-Commercial_PV,Commercial_PV,Central,Solar,1095.744,2020,0,0,0,0,0
C-Commercial_PV,2025011612,C-Commercial_PV,Commercial_PV,Central,Solar,1095.744,2020,0,0,0,0,0
C-Commercial_PV,2025061500,C-Commercial_PV,Commercial_PV,Central,Solar,2191.5,2020,0,0,0,0,0
C-Commercial_PV,2025061512,C-Commercial_PV,Commercial_PV,Central,Solar,2191.5,2020,0,0,0,0,0
C-Commercial_PV,2035011512,C-Commercial_PV,Commercial_PV,Central,Solar,8766,2030,0,0,0,0,0
C-Central_PV-1,2025011500,C-Central_PV-1,Central_PV,Central,Solar,1095.744,2020,0,0,0,0,0
C-Central_PV-1,2025011512,C-Central_PV-1,Central_PV,Central,Solar,1095.744,2020,0,0,0,0,0
C-Central_PV-1,2025011600,C-Central_PV-1,Central_PV,Central,Solar,1095.744,2020,0,0,0,0,0
C-Central_PV-1,2025011612,C-Central_PV-1,Central_PV,Central,Solar,1095.744,2020,0,0,0,0,0
C-Central_PV-1,2025061500,C-Central_PV-1,Central_PV,Central,Solar,2191.5,2020,0,0,0,0,0
C-Central_PV-1,2025061512,C-Central_PV-1,Central_PV,Central,Solar,2191.5,2020,0,0,0,0,0
C-Central_PV-1,2035011512,C-Central_PV-1,Central_PV,Central,Solar,8766,2030,0,0,0,0,0
C-Central_PV-2,2025011500,C-Central_PV-2,Central_PV,Central,Solar,1095.744,2020,0,0,0,0,0
C-Central_PV-2,2025011512,C-Central_PV-2,Central_PV,Central,Solar,1095.744,2020,-5.55E-17,-6.08E-17,0,0,-6.0826E-16
C-Central_PV-2,2025011600,C-Central_PV-2,Central_PV,Central,Solar,1095.744,2020,0,0,0,0,0
C-Central_PV-2,2025011612,C-Central_PV-2,Central_PV,Central,Solar,1095.744,2020,-2.60E-15,-2.84E-15,0,0,-2.84346E-14
C-Central_PV-2,2025061500,C-Central_PV-2,Central_PV,Central,Solar,2191.5,2020,0,0,0,0,0
C-Central_PV-2,2025061512,C-Central_PV-2,Central_PV,Central,Solar,2191.5,2020,0,0,0,0,0
C-Central_PV-2,2035011512,C-Central_PV-2,Central_PV,Central,Solar,8766,2030,0,0,0,0,0
C-Wind-1,2025011500,C-Wind-1,Wind,Central,Wind,1095.744,2020,0,0,0,0,0
C-Wind-1,2025011512,C-Wind-1,Wind,Central,Wind,1095.744,2020,0,0,0,0,0
C-Wind-1,2025011600,C-Wind-1,Wind,Central,Wind,1095.744,2020,0,0,0,0,0
C-Wind-1,2025011612,C-Wind-1,Wind,Central,Wind,1095.744,2020,0,0,0,0,0
C-Wind-1,2025061500,C-Wind-1,Wind,Central,Wind,2191.5,2020,0,0,0,0,0
C-Wind-1,2025061512,C-Wind-1,Wind,Central,Wind,2191.5,2020,0,0,0,0,0
C-Wind-1,2035011512,C-Wind-1,Wind,Central,Wind,8766,2030,3.1808,27.8828928,0,0,278.828928
C-Wind-2,2025011500,C-Wind-2,Wind,Central,Wind,1095.744,2020,0,0,0,0,0
C-Wind-2,2025011512,C-Wind-2,Wind,Central,Wind,1095.744,2020,0,0,0,0,0
C-Wind-2,2025011600,C-Wind-2,Wind,Central,Wind,1095.744,2020,0,0,0,0,0
C-Wind-2,2025011612,C-Wind-2,Wind,Central,Wind,1095.744,2020,0,0,0,0,0
C-Wind-2,2025061500,C-Wind-2,Wind,Central,Wind,2191.5,2020,0,0,0,0,0
C-Wind-2,2025061512,C-Wind-2,Wind,Central,Wind,2191.5,2020,-9.92E-17,-2.17E-16,0,0,-2.17422E-15
C-Wind-2,2035011512,C-Wind-2,Wind,Central,Wind,8766,2030,2.56452,22.48058232,0,0,224.8058232
S-Geothermal,2025011500,S-Geothermal,Geothermal,South,Geothermal,1095.744,2020,2.90574225,3.183949636,110151.9216,0,31.83949636
S-Geothermal,2025011512,S-Geothermal,Geothermal,South,Geothermal,1095.744,2020,2.90574225,3.183949636,110151.9216,0,31.83949636
S-Geothermal,2025011600,S-Geothermal,Geothermal,South,Geothermal,1095.744,2020,2.90574225,3.183949636,110151.9216,0,31.83949636
S-Geothermal,2025011612,S-Geothermal,Geothermal,South,Geothermal,1095.744,2020,2.90574225,3.183949636,110151.9216,0,31.83949636
S-Geothermal,2025061500,S-Geothermal,Geothermal,South,Geothermal,2191.5,2020,2.90574225,6.367934141,220305.0495,0,63.67934141
S-Geothermal,2025061512,S-Geothermal,Geothermal,South,Geothermal,2191.5,2020,2.90574225,6.367934141,220305.0495,0,63.67934141
S-Geothermal,2035011512,S-Geothermal,Geothermal,South,Geothermal,8766,2030,2.90574225,25.47173656,881220.1982,0,254.7173656
S-NG_CC,2025011500,S-NG_CC,NG_CC,South,NaturalGas,1095.744,2020,4.127479495,4.522660892,18523.55267,1609.014854,45.22660892
S-NG_CC,2025011512,S-NG_CC,NG_CC,South,NaturalGas,1095.744,2020,4.486021214,4.915530829,20132.63793,1748.785131,49.15530829
S-NG_CC,2025011600,S-NG_CC,NG_CC,South,NaturalGas,1095.744,2020,3.958038109,4.33699651,17763.12334,1542.961538,43.3699651
S-NG_CC,2025011612,S-NG_CC,NG_CC,South,NaturalGas,1095.744,2020,4.697214455,5.146944556,21080.44376,1831.114568,51.46944556
S-NG_CC,2025061500,S-NG_CC,NG_CC,South,NaturalGas,2191.5,2020,4.7,10.30005,42186.12079,3664.420978,103.0005
S-NG_CC,2025061512,S-NG_CC,NG_CC,South,NaturalGas,2191.5,2020,4.7,10.30005,42186.12079,3664.420978,103.0005
S-NG_CC,2035011512,S-NG_CC,NG_CC,South,NaturalGas,8766,2030,0,0,0,0,0
S-NG_CC_CCS,2035011512,S-NG_CC_CCS,NG_CC_CCS,South,NaturalGas,8766,2030,0,0,0,0,0
S-NG_GT,2025011500,S-NG_GT,NG_GT,South,NaturalGas,1095.744,2020,0,0,0,0,0
S-NG_GT,2025011512,S-NG_GT,NG_GT,South,NaturalGas,1095.744,2020,0,0,0,0,0
S-NG_GT,2025011600,S-NG_GT,NG_GT,South,NaturalGas,1095.744,2020,0,0,0,0,0
S-NG_GT,2025011612,S-NG_GT,NG_GT,South,NaturalGas,1095.744,2020,0,0,0,0,0
S-NG_GT,2025061500,S-NG_GT,NG_GT,South,NaturalGas,2191.5,2020,0,0,0,0,0
S-NG_GT,2025061512,S-NG_GT,NG_GT,South,NaturalGas,2191.5,2020,1.376897344,3.01747053,100688.1636,1663.511588,30.1747053
S-NG_GT,2035011512,S-NG_GT,NG_GT,South,NaturalGas,8766,2030,0,0,0,0,0
S-Biomass_IGCC,2025011500,S-Biomass_IGCC,Biomass_IGCC,South,BioSolid,1095.744,2020,0,0,0,0,0
S-Biomass_IGCC,2025011512,S-Biomass_IGCC,Biomass_IGCC,South,BioSolid,1095.744,2020,0,0,0,0,0
S-Biomass_IGCC,2025011600,S-Biomass_IGCC,Biomass_IGCC,South,BioSolid,1095.744,2020,0,0,0,0,0
S-Biomass_IGCC,2025011612,S-Biomass_IGCC,Biomass_IGCC,South,BioSolid,1095.744,2020,0,0,0,0,0
S-Biomass_IGCC,2025061500,S-Biomass_IGCC,Biomass_IGCC,South,BioSolid,2191.5,2020,0,0,0,0,0
S-Biomass_IGCC,2025061512,S-Biomass_IGCC,Biomass_IGCC,South,BioSolid,2191.5,2020,0,0,0,0,0
S-Biomass_IGCC,2035011512,S-Biomass_IGCC,Biomass_IGCC,South,BioSolid,8766,2030,0,0,0,0,0
S-Biomass_IGCC_CCS,2035011512,S-Biomass_IGCC_CCS,Biomass_IGCC_CCS,South,BioSolid,8766,2030,0,0,0,0,0
S-Residential_PV,2025011500,S-Residential_PV,Residential_PV,South,Solar,1095.744,2020,0,0,0,0,0
S-Residential_PV,2025011512,S-Residential_PV,Residential_PV,South,Solar,1095.744,2020,0,0,0,0,0
S-Residential_PV,2025011600,S-Residential_PV,Residential_PV,South,Solar,1095.744,2020,0,0,0,0,0
S-Residential_PV,2025011612,S-Residential_PV,Residential_PV,South,Solar,1095.744,2020,1.46E-15,1.60E-15,0,0,1.60094E-14
S-Residential_PV,2025061500,S-Residential_PV,Residential_PV,South,Solar,2191.5,2020,0,0,0,0,0
S-Residential_PV,2025061512,S-Residential_PV,Residential_PV,South,Solar,2191.5,2020,0,0,0,0,0
S-Residential_PV,2035011512,S-Residential_PV,Residential_PV,South,Solar,8766,2030,0,0,0,0,0
S-Commercial_PV,2025011500,S-Commercial_PV,Commercial_PV,South,Solar,1095.744,2020,0,0,0,0,0
S-Commercial_PV,2025011512,S-Commercial_PV,Commercial_PV,South,Solar,1095.744,2020,7.26E-16,7.95E-16,0,0,7.95005E-15
S-Commercial_PV,2025011600,S-Commercial_PV,Commercial_PV,South,Solar,1095.744,2020,0,0,0,0,0
S-Commercial_PV,2025011612,S-Commercial_PV,Commercial_PV,South,Solar,1095.744,2020,7.81E-16,8.56E-16,0,0,8.56184E-15
S-Commercial_PV,2025061500,S-Commercial_PV,Commercial_PV,South,Solar,2191.5,2020,0,0,0,0,0
S-Commercial_PV,2025061512,S-Commercial_PV,Commercial_PV,South,Solar,2191.5,2020,0,0,0,0,0
S-Commercial_PV,2035011512,S-Commercial_PV,Commercial_PV,South,Solar,8766,2030,1.39E-15,1.22E-14,0,0,1.21695E-13
S-Central_PV-1,2025011500,S-Central_PV-1,Central_PV,South,Solar,1095.744,2020,0,0,0,0,0
S-Central_PV-1,2025011512,S-Central_PV-1,Central_PV,South,Solar,1095.744,2020,-5.55E-17,-6.08E-17,0,0,-6.0826E-16
S-Central_PV-1,2025011600,S-Central_PV-1,Central_PV,South,Solar,1095.744,2020,0,0,0,0,0
S-Central_PV-1,2025011612,S-Central_PV-1,Central_PV,South,Solar,1095.744,2020,3.73E-17,4.08E-17,0,0,4.08369E-16
S-Central_PV-1,2025061500,S-Central_PV-1,Central_PV,South,Solar,2191.5,2020,0,0,0,0,0
S-Central_PV-1,2025061512,S-Central_PV-1,Central_PV,South,Solar,2191.5,2020,0,0,0,0,0
S-Central_PV-1,2035011512,S-Central_PV-1,Central_PV,South,Solar,8766,2030,0,0,0,0,0
S-Central_PV-2,2025011500,S-Central_PV-2,Central_PV,South,Solar,1095.744,2020,0,0,0,0,0
S-Central_PV-2,2025011512,S-Central_PV-2,Central_PV,South,Solar,1095.744,2020,0,0,0,0,0
S-Central_PV-2,2025011600,S-Central_PV-2,Central_PV,South,Solar,1095.744,2020,0,0,0,0,0
S-Central_PV-2,2025011612,S-Central_PV-2,Central_PV,South,Solar,1095.744,2020,0,0,0,0,0
S-Central_PV-2,2025061500,S-Central_PV-2,Central_PV,South,Solar,2191.5,2020,0,0,0,0,0
S-Central_PV-2,2025061512,S-Central_PV-2,Central_PV,South,Solar,2191.5,2020,0,0,0,0,0
S-Central_PV-2,2035011512,S-Central_PV-2,Central_PV,South,Solar,8766,2030,0,0,0,0,0
,,,,,,,,,,,Total dispatch:,3492.180576
